ACTUACIONES DE EMERGENCIA PARA LA RESTAURACIÓN DE DAÑOS POR INCENDIOS FORESTALES EN EL PERÍODO 2004-2014,,,,,,,,,,
Año incendio,Denominación incendio,Provincia,CCAA,Fecha incendio,TTMM INCENDIO,FECHA DE ACCIÓN DE LA RESTAURACIÓN,INVERSION DE LAS ACCIONES (€),SUPERFICIERESTAURADA (HA),% SUPERFICIE RESTAURADA (HA)/SUPERFICIE FORESTAL AFECTADA (HA),ACCIONES REALIZADAS
2008,I. ZUERA 2008,ZARAGOZA,ARAGÓN,5/08/2008,ZUERA,1/10/2009,"707.491,67",220,#REF!,"­220,00 Ha de tratamientos selvícolas"
2008,I. ISLA DE LA GOMERA 2008,SANTA CRUZ DE TENERIFE,CANARIAS,26/04/2008,VALLEHERMOSO,2/03/2010,"574.902,16","76,2",#REF!,"­75,20 Ha de tratamientos selvícolas­1,00 Ha de repoblación forestal en barrancos y riberas­12.205,42 m de construcción de fajinas"
2007,I. OBEJO 2007,CÓRDOBA,ANDALUCÍA,27/07/2007,OBEJO,11/02/2008,"1.529.976,95","485,53",#REF!,"­485,53 Ha de tratamientos selvícolas­59 ud de fajinas­167 ud de albarradas de madera ­2.016 ud majanos con restos vegetales"
2007,I. TORRE DE LAS ARCAS 2007,TERUEL,ARAGÓN,1/08/2007,TORRE DE LAS ARCAS,30/01/2008,"558.000,00","172,13",#REF!,"­172,13 Ha de Tratamientos selvícolas (TA)"
2007,I. ISLA DE GRAN CANARIA 2007,GRAN CANARIA,CANARIAS,27/07/2007,TEJEDA,14/01/200821/01/2008,"9.440.969,00","770,38",#REF!,"­570,38 Ha de tratamientos selvícolas­200,00 Ha de repoblación forestal­2.188 ud de construcción de fajinas­ 490 ud de albarradas de madera­13.276,01 m3 de diques y albarradas de mampostería­33.030 m de mejora de pistas forestales­Llocalización y saca de 55 árboles de grandes dimensiones derribados"
2007,I. ISLA DE LA GOMERA 2007,SANTA CRUZ DE TENERIFE,CANARIAS,27/07/2007,ALAJERÓ,14/01/2008,"350.000,00","51,6",#REF!,"­51,60 Ha de tratamientos selvícolas­1.318 m3 de restauración de bancales"
2007,I. ISLA DE TENERIFE 2007,SANTA CRUZ DE TENERIFE,CANARIAS,30/07/2007,LOS REALEJOS,4/02/2008,"8.939.061,51","813,87",#REF!,"­713,87 Ha de tratamientos selvícolas­100,00 Ha de repoblación forestal­Reparación de 10 muros de contención y diques.­11.568,11 m3 de muros de contención, escolleras y diques­90.440,18 m de mejora de pistas forestales­Realización de plano de cobertura móvil"
2007,I. L'ALCALATEN 2007,CASTELLÓN,VALENCIA,28/08/2007,USERES LES/USERAS,4/02/2008,"2.148.300,00","406,68",#REF!,"­406,68 Ha de tratamientos selvícolas­689,54 m de restauración de bancales­4 ud de diques de contención­34.027,41 m de mejora de pistas"
2006,I. PERALTA DE CALASANZ 2006,HUESCA,ARAGÓN,12/08/2006,PERALTA DE CALASANZ,26/07/2007,"571.000,00",51,#REF!,­51 Ha de tratamientos selvícolas­6.935 m de mejora de pistas forestales­Prevención de plagas forestales mediante la colocación de 60 puntos cebo
2006,I. FRONTERA Y VALVERDE (ISLA DE EL HIERRO) 2006,SANTA CRUZ DE TENERIFE,CANARIAS,10/09/2006,VALVERDE,14/01/2008,"486.999,90","22,5",#REF!,"­22,50 Ha de tratamientos selvícolas­10,86 Ha de fajinas­Revegetación con 22 pies"
2006,I. MOHEDAS DE LA JARA 2006,TOLEDO,CASTILLA LA MANCHA,12/08/2006,CARRASCALEJO (CÁCERES),15/10/2007,"559.901,65",136,#REF!,"­136,00 Ha de tratamientos selvícolas­560 m de fajinas­1.121,50 m3 de albarradas­11.850 m de mejora de pistas forestales"
2006,I. PROVINCIA DE A CORUÑA (2006),A CORUÑA,GALICIA,4 al 15 Ago 06,"BOIRO, CAMARIÑAS, FISTERRA, LOUSAME, NOIA, PADRÓN, RIANXO, RIBEIRA, ROIS, BRIÓN, CEE, DUMBRÍA, TEO, TRAZO, AMES, BETANZOS, BERGONDO, VIMIANZO, ARANGA, CARBALLO, CARNOTA, CERCEDA, DODRO, FERROL, MALPICA, MAZARICOS, MUROS, NEGREIRA, POBRA DO CARAMIÑAL, PONTECESO, PORTO DO SON, SANTA COMBA, SANTIAGO DE COMPOSTELA",27/10/2006,"11.078.124,39","2.323,22",#REF!,"­1.664,51 Ha de tratamientos selvícolas,­2.092,35 Ha de repoblación forestal, ­43,07 Ha apertura y limpieza de cortafuegos­127.750,18 m limpieza de ríos­167.880 m mejora de pistas forestales­Construcción de 12 depósitos de agua­31.827 m de cerramiento con malla ganadera­Realización de tratamientos fitosanitarios"
2006,I. PROVINCIA DE LUGO (2006),LUGO,GALICIA,4 al 15 Ago 06,CERVANTES Y NAVIA DE SUARNA,27/10/2006,"1.270.754,89","352,35",#REF!,"­134,80 Ha de tratamientos selvícolas­209,83 Ha de repoblación forestal ­300 m de fajinas­7,72 Ha de apertura de cortafuegos­54.080 m de apertura y conservación de pistas forestales­Construcción de 7 depósitos de agua- 202 h para el aprovechamiento de biomasa­Realización de tratamiento fitosanitario­ 65 m de cerramiento con postes de madera­ Construcción de 2 pasos canadienses­ Construcción de 1 pontón (puente de madera)"
2006,I. PROVINCIA DE OURENSE (2006),OURENSE,GALICIA,4 al 15 Ago 06,"AVIÓN, A GUDIÑA Y RÍOS",27/10/2006,"1.331.971,26","560,57",#REF!,"­40,14 Ha de tratamientos selvícolas­469,69 Ha de repoblación forestal­50,74 Ha de apertura y limpieza de cortafuegos­20.480 m de apertura de pistas forestales­Construcción de 1 depósito de agua ­Realización de tratamientos fitosanitarios­1.120 de cerramiento con postes de madera"
2006,I. PROVINCIA DE PONTEVEDRA (2006),PONTEVEDRA,GALICIA,4 al 15 Ago 06,"BAIONA, CAMPO LAMEIRO, CALDAS DE REIS, COTOBADE, OIA, SANXENXO, VILAGARCIA DE AROUSA, BARRO, CANGAS, CATOIRA, CERDEDO, GONDOMAR, MEAÑO, MEIS, MOAÑA, POIO, PONTEVEDRA, PORTAS, SOUTOMAIOR, VALGA, VILABOA, A LAMA, CUNTIS, FORCAREI, FORNELOS DE MONTES, PAZOS DE BORBEN, PONTE CALDELAS, PONTECESURES, REDONDELA, VILANOVA DE AROUSA",27/10/2006,"7.278.895,23","2.782,20",#REF!,"­1.039,21 Ha de tratamientos selvícolas­1.629,78 Ha de repoblación forestal­ 60.248,62 m de limpieza de ríos­119 m2 de banquetas de piedras­113,21 Ha de fajinas­37.345,76 m de mejora de pistas forestales ­Construcción de 3 depósitos de agua­Realización de tratamientos fitosanitarios­ 23.393 m de cerramiento con postes de madera"
2005,I. LANJARÓN 2005,GRANADA,ANDALUCÍA,22/09/2005,LANJARÓN,25/10/2006,"700.000,00",262,#REF!,"­2.009,00 m3 de albarradas gavionada (23 ud) ­286,02 m3 de muros de mampostería (3 ud)­405 m de mejora de pistas forestales"
2005,I. CAZORLA 2005,JAÉN,ANDALUCÍA,7/08/2005,VILLANUEVA DEL ARZOBISPO,3/10/2006,"1.660.000,00",484,#REF!,­53.455 m de mejora de pistas forestales.
