ano,idprov,province,inmigrations,emigrations,net_migration
1992,22,Huesca,2059,2029,30
1992,23,Jaén,5406,5570,-164
1992,24,León,3148,4819,-1671
1992,25,Lleida,3257,2776,481
1992,26,La Rioja,1999,2296,-297
1992,27,Lugo,1961,2252,-291
1992,28,Madrid,31555,32384,-829
1992,29,Málaga,7798,7044,754
1992,30,Murcia,7511,5714,1797
1992,31,Navarra,4131,3116,1015
1992,32,Ourense,1784,2406,-622
1992,33,Asturias,4433,4551,-118
1992,34,Palencia,1362,1943,-581
1992,35,Las Palmas,6590,5774,816
1992,36,Pontevedra,4006,3824,182
1992,37,Salamanca,2784,3066,-282
1992,38,Santa Cruz de Tenerife,5558,3718,1840
1992,39,Cantabria,2889,2760,129
1992,40,Segovia,1254,1658,-404
1992,41,Sevilla,9452,6516,2936
1992,42,Soria,1062,970,92
1992,43,Tarragona,8202,4166,4036
1992,44,Teruel,1338,1761,-423
1992,45,Toledo,6059,4097,1962
1992,46,Valencia,10688,8696,1992
1992,47,Valladolid,3521,3710,-189
1992,48,Vizcaya,4913,9014,-4101
1992,49,Zamora,1376,1913,-537
1992,50,Zaragoza,5574,4609,965
1992,51,Ceuta,1295,931,364
1992,52,Melilla,1290,1048,242
1993,01,Álava,3144,2450,694
1993,02,Albacete,3316,3125,191
1993,03,Alicante,11000,8868,2132
1993,04,Almería,4991,3885,1106
1993,05,Ávila,1984,2328,-344
1993,06,Badajoz,5959,5420,539
1993,07,Baleares,7660,8039,-379
1993,08,Barcelona,19609,31849,-12240
1993,09,Burgos,3069,3606,-537
1993,10,Cáceres,4785,4299,486
1993,11,Cádiz,6823,8034,-1211
1993,12,Castellón,4001,2796,1205
1993,13,Ciudad Real,3982,4195,-213
1993,14,Córdoba,5482,5292,190
1993,15,A Coruña,6085,4518,1567
1993,16,Cuenca,2104,2559,-455
1993,17,Girona,6856,5505,1351
1993,18,Granada,7680,6612,1068
1993,19,Guadalajara,3565,1846,1719
1993,20,Guipúzcoa,3295,5427,-2132
1993,21,Huelva,2305,2782,-477
1993,22,Huesca,2370,2313,57
1993,23,Jaén,5175,6039,-864
1993,24,León,3655,4884,-1229
1993,25,Lleida,3328,3095,233
1993,26,La Rioja,2236,2507,-271
1993,27,Lugo,2303,2226,77
1993,28,Madrid,31828,38190,-6362
1993,29,Málaga,8280,7320,960
1993,30,Murcia,8144,6117,2027
1993,31,Navarra,4370,3388,982
1993,32,Ourense,2138,2463,-325
1993,33,Asturias,4713,4892,-179
1993,34,Palencia,1780,1937,-157
1993,35,Las Palmas,7298,5716,1582
1993,36,Pontevedra,4049,4258,-209
1993,37,Salamanca,3060,3093,-33
1993,38,Santa Cruz de Tenerife,5052,3773,1279
1993,39,Cantabria,3331,2830,501
1993,40,Segovia,1560,1415,145
1993,41,Sevilla,10837,7332,3505
1993,42,Soria,982,1163,-181
1993,43,Tarragona,9031,4591,4440
1993,44,Teruel,1529,1942,-413
1993,45,Toledo,7190,4603,2587
1993,46,Valencia,10646,9552,1094
1993,47,Valladolid,3632,3993,-361
1993,48,Vizcaya,5266,9127,-3861
1993,49,Zamora,1621,2093,-472
1993,50,Zaragoza,5824,4932,892
1993,51,Ceuta,1137,1123,14
1993,52,Melilla,1539,1257,282
1994,01,Álava,3160,2822,338
1994,02,Albacete,3541,3405,136
1994,03,Alicante,13499,8899,4600
1994,04,Almería,5225,4104,1121
1994,05,Ávila,2270,2471,-201
1994,06,Badajoz,5930,5522,408
1994,07,Baleares,8827,6754,2073
1994,08,Barcelona,20262,33577,-13315
1994,09,Burgos,3539,3696,-157
1994,10,Cáceres,5262,4311,951
1994,11,Cádiz,7442,8540,-1098
1994,12,Castellón,4190,2880,1310
1994,13,Ciudad Real,3893,4264,-371
1994,14,Córdoba,5043,5519,-476
1994,15,A Coruña,6378,5733,645
1994,16,Cuenca,2489,2622,-133
1994,17,Girona,7405,5541,1864
1994,18,Granada,7635,7403,232
1994,19,Guadalajara,4432,2056,2376
1994,20,Guipúzcoa,3862,5758,-1896
1994,21,Huelva,2418,2912,-494
1994,22,Huesca,2693,2256,437
1994,23,Jaén,5173,6124,-951
1994,24,León,4401,4611,-210
1994,25,Lleida,3587,3485,102
1994,26,La Rioja,2810,2606,204
1994,27,Lugo,2709,2646,63
1994,28,Madrid,33316,44640,-11324
1994,29,Málaga,9371,7328,2043
1994,30,Murcia,8762,7340,1422
1994,31,Navarra,4976,3459,1517
1994,32,Ourense,2568,2451,117
1994,33,Asturias,4622,5811,-1189
1994,34,Palencia,1865,2137,-272
1994,35,Las Palmas,8909,5645,3264
1994,36,Pontevedra,4616,4689,-73
1994,37,Salamanca,3542,3464,78
1994,38,Santa Cruz de Tenerife,6107,4095,2012
1994,39,Cantabria,4077,3198,879
1994,40,Segovia,1715,1644,71
