Ciudad,Provincia,Comunidad Autónoma,Municipio,Población,Tasa,Casos,Año
Cornellà de Llobregat,Barcelona,Cataluña,Cornellà de Llobregat (Cataluña),86.519,"60,10240525",52,2009
Tomiño,Pontevedra,Galicia,Tomiño (Galicia),13.315,"60,08261359",8,2009
Carmona,Sevilla,Andalucía,Carmona (Andalucía),28.344,"59,97742027",17,2009
"Viso del Alcor, El",Sevilla,Andalucía,"Viso del Alcor, El (Andalucía)",18.351,"59,94223748",11,2009
Santa Perpètua de Mogoda,Barcelona,Cataluña,Santa Perpètua de Mogoda (Cataluña),25.048,"59,88502076",15,2009
Elda,Alacant/Alicante,Comunidad Valenciana,Elda (Comunidad Valenciana),55.168,"59,81728538",33,2009
Bilbao,Bizkaia,País Vasco,Bilbao (País Vasco),354.860,"59,74187003",212,2009
Buñol,València/Valencia,Comunidad Valenciana,Buñol (Comunidad Valenciana),10.062,"59,63029219",6,2009
Balaguer,Lleida,Cataluña,Balaguer (Cataluña),16.779,"59,59830741",10,2009
Esparreguera,Barcelona,Cataluña,Esparreguera (Cataluña),21.855,"59,48295585",13,2009
Amurrio,Araba/Álava,País Vasco,Amurrio (País Vasco),10.089,"59,47071068",6,2009
Sant Boi de Llobregat,Barcelona,Cataluña,Sant Boi de Llobregat (Cataluña),82.428,"59,44581938",49,2009
Nules,Castelló/Castellón,Comunidad Valenciana,Nules (Comunidad Valenciana),13.490,"59,30318755",8,2009
Bormujos,Sevilla,Andalucía,Bormujos (Andalucía),18.590,"59,17159763",11,2009
Cádiz,Cádiz,Andalucía,Cádiz (Andalucía),126.766,"59,16412918",75,2009
Irun,Gipuzkoa,País Vasco,Irun (País Vasco),60.951,"59,06383817",36,2009
Olivenza,Badajoz,Extremadura,Olivenza (Extremadura),11.852,"59,06176173",7,2009
Canet de Mar,Barcelona,Cataluña,Canet de Mar (Cataluña),13.548,"59,04930617",8,2009
Benetússer,València/Valencia,Comunidad Valenciana,Benetússer (Comunidad Valenciana),15.313,"58,77359107",9,2009
"Roca del Vallès, La",Barcelona,Cataluña,"Roca del Vallès, La (Cataluña)",10.214,"58,7429019",6,2009
Tuineje,Las Palmas,Canarias,Tuineje (Canarias),13.632,"58,68544601",8,2009
Santander,Cantabria,Cantabria,Santander (Cantabria),182.700,"58,56595512",107,2009
Vilagarcía de Arousa,Pontevedra,Galicia,Vilagarcía de Arousa (Galicia),37.576,"58,54800937",22,2009
Rojales,Alacant/Alicante,Comunidad Valenciana,Rojales (Comunidad Valenciana),20.510,"58,50804486",12,2009
Cubelles,Barcelona,Cataluña,Cubelles (Cataluña),13.711,"58,34731238",8,2009
Sabadell,Barcelona,Cataluña,Sabadell (Cataluña),206.493,"58,11335009",120,2009
Navalmoral de la Mata,Cáceres,Extremadura,Navalmoral de la Mata (Extremadura),17.228,"58,04504295",10,2009
Montornès del Vallès,Barcelona,Cataluña,Montornès del Vallès (Cataluña),15.509,"58,03082081",9,2009
Sant Carles de la Ràpita,Tarragona,Cataluña,Sant Carles de la Ràpita (Cataluña),15.511,"58,02333828",9,2009
Alboraya,València/Valencia,Comunidad Valenciana,Alboraya (Comunidad Valenciana),22.405,"58,02276278",13,2009
"Bisbal d'Empordà, La",Girona,Cataluña,"Bisbal d'Empordà, La (Cataluña)",10.385,"57,77563794",6,2009
Sant Vicenç dels Horts,Barcelona,Cataluña,Sant Vicenç dels Horts (Cataluña),27.701,"57,75964767",16,2009
"Vall d'Uixó, la",Castelló/Castellón,Comunidad Valenciana,"Vall d'Uixó, la (Comunidad Valenciana)",32.924,"57,70866237",19,2009
Erandio,Bizkaia,País Vasco,Erandio (País Vasco),24.262,"57,7034045",14,2009
Jódar,Jaén,Andalucía,Jódar (Andalucía),12.157,"57,57999506",7,2009
Jimena de la Frontera,Cádiz,Andalucía,Jimena de la Frontera (Andalucía),10.431,"57,52085131",6,2009
"Porriño, O",Pontevedra,Galicia,"Porriño, O (Galicia)",17.475,"57,22460658",10,2009
Arahal,Sevilla,Andalucía,Arahal (Andalucía),19.248,"57,14879468",11,2009
Siero,Asturias,Asturias,Siero (Asturias),51.181,"56,66165178",29,2009
Fene,A Coruña,Galicia,Fene (Galicia),14.165,"56,47723262",8,2009
Oliva,València/Valencia,Comunidad Valenciana,Oliva (Comunidad Valenciana),28.419,"56,30036243",16,2009
Laviana,Asturias,Asturias,Laviana (Asturias),14.210,"56,29838142",8,2009
Arrigorriaga,Bizkaia,País Vasco,Arrigorriaga (País Vasco),12.435,"56,29272216",7,2009
Salou,Tarragona,Cataluña,Salou (Cataluña),26.649,"56,28729033",15,2009
"Barco de Valdeorras, O",Ourense,Galicia,"Barco de Valdeorras, O (Galicia)",14.213,"56,28649828",8,2009
Sant Adrià de Besòs,Barcelona,Cataluña,Sant Adrià de Besòs (Cataluña),33.761,"56,27795385",19,2009
Morón de la Frontera,Sevilla,Andalucía,Morón de la Frontera (Andalucía),28.455,"56,22913372",16,2009
Brenes,Sevilla,Andalucía,Brenes (Andalucía),12.460,"56,17977528",7,2009
Teo,A Coruña,Galicia,Teo (Galicia),17.807,"56,1576908",10,2009
Bullas,Murcia,Región de Murcia,Bullas (Región de Murcia),12.493,"56,03137757",7,2009
