Ciudad,Provincia,Comunidad Autónoma,Municipio,Población,Tasa,Casos,Año
Mataró,Barcelona,Cataluña,Mataró (Cataluña),124099,"46,73687943",58,2014
Cartaya,Huelva,Andalucía,Cartaya (Andalucía),19323,"46,57661854",9,2014
Torrevieja,Alacant/Alicante,Comunidad Valenciana,Torrevieja (Comunidad Valenciana),105205,"46,57573309",49,2014
Brenes,Sevilla,Andalucía,Brenes (Andalucía),12897,"46,52244708",6,2014
Amposta,Tarragona,Cataluña,Amposta (Cataluña),21511,"46,48784343",10,2014
Sada,A Coruña,Galicia,Sada (Galicia),15075,"46,4344942",7,2014
Palma del Río,Córdoba,Andalucía,Palma del Río (Andalucía),21582,"46,33490872",10,2014
Olesa de Montserrat,Barcelona,Cataluña,Olesa de Montserrat (Cataluña),23742,"46,33139584",11,2014
Ripoll,Girona,Cataluña,Ripoll (Cataluña),10798,"46,30487127",5,2014
Monzón,Huesca,Aragón,Monzón (Aragón),17290,"46,26951995",8,2014
Alicante/Alacant,Alacant/Alicante,Comunidad Valenciana,Alicante/Alacant (Comunidad Valenciana),335052,"46,26147583",155,2014
Madrid,Madrid,Comunidad de Madrid,Madrid (Comunidad de Madrid),3207247,"46,17667426",1481,2014
Zamora,Zamora,Castilla y León,Zamora (Castilla y León),64986,"46,16378912",30,2014
Sanlúcar de Barrameda,Cádiz,Andalucía,Sanlúcar de Barrameda (Andalucía),67301,"46,06172271",31,2014
Borriana/Burriana,Castelló/Castellón,Comunidad Valenciana,Borriana/Burriana (Comunidad Valenciana),34744,"46,05111674",16,2014
Sant Carles de la Ràpita,Tarragona,Cataluña,Sant Carles de la Ràpita (Cataluña),15245,"45,916694",7,2014
Alginet,València/Valencia,Comunidad Valenciana,Alginet (Comunidad Valenciana),13068,"45,91368228",6,2014
Málaga,Málaga,Andalucía,Málaga (Andalucía),568479,"45,91198619",261,2014
Jerez de la Frontera,Cádiz,Andalucía,Jerez de la Frontera (Andalucía),211670,"45,82604998",97,2014
Almazora/Almassora,Castelló/Castellón,Comunidad Valenciana,Almazora/Almassora (Comunidad Valenciana),26186,"45,8260139",12,2014
Palma de Mallorca,Illes Balears,Illes Balears,Palma de Mallorca (Illes Balears),398162,"45,71003762",182,2014
Mislata,València/Valencia,Comunidad Valenciana,Mislata (Comunidad Valenciana),43775,"45,68817818",20,2014
"Eliana, l'",València/Valencia,Comunidad Valenciana,"Eliana, l' (Comunidad Valenciana)",17527,"45,64386375",8,2014
Pego,Alacant/Alicante,Comunidad Valenciana,Pego (Comunidad Valenciana),10957,"45,63292872",5,2014
Ávila,Ávila,Castilla y León,Ávila (Castilla y León),59258,"45,56346822",27,2014
Ansoáin/Antsoain,Navarra,Navarra,Ansoáin/Antsoain (Navarra),10976,"45,55393586",5,2014
Almoradí,Alacant/Alicante,Comunidad Valenciana,Almoradí (Comunidad Valenciana),19788,"45,48211037",9,2014
"Palmas de Gran Canaria, Las",Las Palmas,Canarias,"Palmas de Gran Canaria, Las (Canarias)",383050,"45,42487926",174,2014
Sevilla,Sevilla,Andalucía,Sevilla (Andalucía),700169,"45,41760632",318,2014
Arrasate/Mondragón,Gipuzkoa,País Vasco,Arrasate/Mondragón (País Vasco),22051,"45,34941726",10,2014
Novelda,Alacant/Alicante,Comunidad Valenciana,Novelda (Comunidad Valenciana),26517,"45,25398801",12,2014
Badajoz,Badajoz,Extremadura,Badajoz (Extremadura),150621,"45,14642713",68,2014
Tegueste,Santa Cruz de Tenerife,Canarias,Tegueste (Canarias),11078,"45,13450081",5,2014
Hellín,Albacete,Castilla La Mancha,Hellín (Castilla La Mancha),31029,"45,11908215",14,2014
Marchena,Sevilla,Andalucía,Marchena (Andalucía),19959,"45,0924395",9,2014
Fuente Palmera,Córdoba,Andalucía,Fuente Palmera (Andalucía),11112,"44,99640029",5,2014
Reus,Tarragona,Cataluña,Reus (Cataluña),106790,"44,94802884",48,2014
Cartagena,Murcia,Región de Murcia,Cartagena (Región de Murcia),217641,"44,56880827",97,2014
Fuensalida,Toledo,Castilla La Mancha,Fuensalida (Castilla La Mancha),11221,"44,55930844",5,2014
Guadarrama,Madrid,Comunidad de Madrid,Guadarrama (Comunidad de Madrid),15712,"44,55193483",7,2014
Adra,Almería,Andalucía,Adra (Andalucía),24761,"44,42470013",11,2014
Villacarrillo,Jaén,Andalucía,Villacarrillo (Andalucía),11263,"44,3931457",5,2014
Coín,Málaga,Andalucía,Coín (Andalucía),22536,"44,37344693",10,2014
"Villajoyosa/Vila Joiosa, la",Alacant/Alicante,Comunidad Valenciana,"Villajoyosa/Vila Joiosa, la (Comunidad Valenciana)",33834,"44,33410179",15,2014
Aspe,Alacant/Alicante,Comunidad Valenciana,Aspe (Comunidad Valenciana),20341,"44,24561231",9,2014
Tarifa,Cádiz,Andalucía,Tarifa (Andalucía),18085,"44,23555433",8,2014
Xàtiva,València/Valencia,Comunidad Valenciana,Xàtiva (Comunidad Valenciana),29400,"44,21768707",13,2014
Tarragona,Tarragona,Cataluña,Tarragona (Cataluña),133545,"44,17986447",59,2014
Olot,Girona,Cataluña,Olot (Cataluña),33981,"44,14231482",15,2014
Alcalá la Real,Jaén,Andalucía,Alcalá la Real (Andalucía),22682,"44,08782294",10,2014
Benaguasil,València/Valencia,Comunidad Valenciana,Benaguasil (Comunidad Valenciana),11354,"44,03734367",5,2014
Santoña,Cantabria,Cantabria,Santoña (Cantabria),11382,"43,92901072",5,2014
San Sebastián de los Reyes,Madrid,Comunidad de Madrid,San Sebastián de los Reyes (Comunidad de Madrid),82090,"43,85430625",36,2014
Andújar,Jaén,Andalucía,Andújar (Andalucía),38885,"43,71865758",17,2014
"Hospitalet de Llobregat, L'",Barcelona,Cataluña,"Hospitalet de Llobregat, L' (Cataluña)",254056,"43,69115471",111,2014
Armilla,Granada,Andalucía,Armilla (Andalucía),22904,"43,66049598",10,2014
Utebo,Zaragoza,Aragón,Utebo (Aragón),18336,"43,63001745",8,2014
Oleiros,A Coruña,Galicia,Oleiros (Galicia),34470,"43,51610096",15,2014
Granollers,Barcelona,Cataluña,Granollers (Cataluña),59753,"43,51245963",26,2014
Malgrat de Mar,Barcelona,Cataluña,Malgrat de Mar (Cataluña),18429,"43,40984318",8,2014
Torremolinos,Málaga,Andalucía,Torremolinos (Andalucía),69389,"43,23451844",30,2014
Coria del Río,Sevilla,Andalucía,Coria del Río (Andalucía),30115,"43,16785655",13,2014
Marín,Pontevedra,Galicia,Marín (Galicia),25483,"43,16603226",11,2014
Lorca,Murcia,Región de Murcia,Lorca (Región de Murcia),92718,"43,14156906",40,2014
Torelló,Barcelona,Cataluña,Torelló (Cataluña),13908,"43,14063848",6,2014
Güímar,Santa Cruz de Tenerife,Canarias,Güímar (Canarias),18589,"43,03620421",8,2014
San Vicente del Raspeig/Sant Vicent del Raspeig,Alacant/Alicante,Comunidad Valenciana,San Vicente del Raspeig/Sant Vicent del Raspeig (Comunidad Valenciana),55781,"43,02540292",24,2014
Tuineje,Las Palmas,Canarias,Tuineje (Canarias),13946,"43,02308906",6,2014
Onda,Castelló/Castellón,Comunidad Valenciana,Onda (Comunidad Valenciana),25572,"43,01579853",11,2014
Alcorcón,Madrid,Comunidad de Madrid,Alcorcón (Comunidad de Madrid),169773,"42,99859224",73,2014
Alboraya,València/Valencia,Comunidad Valenciana,Alboraya (Comunidad Valenciana),23269,"42,97563282",10,2014
Ponteareas,Pontevedra,Galicia,Ponteareas (Galicia),23326,"42,87061648",10,2014
Astorga,León,Castilla y León,Astorga (Castilla y León),11690,"42,77159966",5,2014
Baza,Granada,Andalucía,Baza (Andalucía),21258,"42,33700254",9,2014
Corbera de Llobregat,Barcelona,Cataluña,Corbera de Llobregat (Cataluña),14315,"41,91407614",6,2014
Riba-roja de Túria,València/Valencia,Comunidad Valenciana,Riba-roja de Túria (Comunidad Valenciana),21520,"41,82156134",9,2014
"Carballiño, O",Ourense,Galicia,"Carballiño, O (Galicia)",14355,"41,79728318",6,2014
Talavera de la Reina,Toledo,Castilla La Mancha,Talavera de la Reina (Castilla La Mancha),88548,"41,78524642",37,2014
Albatera,Alacant/Alicante,Comunidad Valenciana,Albatera (Comunidad Valenciana),11983,"41,72577819",5,2014
Valdemorillo,Madrid,Comunidad de Madrid,Valdemorillo (Comunidad de Madrid),11988,"41,70837504",5,2014
Maracena,Granada,Andalucía,Maracena (Andalucía),21594,"41,67824396",9,2014
Carmona,Sevilla,Andalucía,Carmona (Andalucía),28793,"41,67679644",12,2014
Cambre,A Coruña,Galicia,Cambre (Galicia),23999,"41,66840285",10,2014
Ceuta,Ceuta,Ceuta,Ceuta (Ceuta),84180,"41,57757187",35,2014
Baiona,Pontevedra,Galicia,Baiona (Galicia),12035,"41,54549231",5,2014
San Pedro del Pinatar,Murcia,Región de Murcia,San Pedro del Pinatar (Región de Murcia),24102,"41,49033275",10,2014
Puerto de la Cruz,Santa Cruz de Tenerife,Canarias,Puerto de la Cruz (Canarias),28929,"41,48086695",12,2014
Puçol,València/Valencia,Comunidad Valenciana,Puçol (Comunidad Valenciana),19320,"41,40786749",8,2014
Cubelles,Barcelona,Cataluña,Cubelles (Cataluña),14528,"41,29955947",6,2014
Guardamar del Segura,Alacant/Alicante,Comunidad Valenciana,Guardamar del Segura (Comunidad Valenciana),16957,"41,28088695",7,2014
Granadilla de Abona,Santa Cruz de Tenerife,Canarias,Granadilla de Abona (Canarias),43608,"41,27682994",18,2014
Lora del Río,Sevilla,Andalucía,Lora del Río (Andalucía),19403,"41,23073751",8,2014
Deltebre,Tarragona,Cataluña,Deltebre (Cataluña),12158,"41,12518506",5,2014
Ponferrada,León,Castilla y León,Ponferrada (Castilla y León),68121,"41,10333084",28,2014
Esparreguera,Barcelona,Cataluña,Esparreguera (Cataluña),21926,"41,04715862",9,2014
Vallirana,Barcelona,Cataluña,Vallirana (Cataluña),14625,"41,02564103",6,2014
"Puebla del Río, La",Sevilla,Andalucía,"Puebla del Río, La (Andalucía)",12207,"40,96010486",5,2014
Terrassa,Barcelona,Cataluña,Terrassa (Cataluña),215055,"40,91976471",88,2014
Santa Coloma de Gramenet,Barcelona,Cataluña,Santa Coloma de Gramenet (Cataluña),120029,"40,82346766",49,2014
Caldes de Montbui,Barcelona,Cataluña,Caldes de Montbui (Cataluña),17156,"40,80205176",7,2014
Calafell,Tarragona,Cataluña,Calafell (Cataluña),24563,"40,71163946",10,2014
Yecla,Murcia,Región de Murcia,Yecla (Región de Murcia),34393,"40,70595761",14,2014
Elda,Alacant/Alicante,Comunidad Valenciana,Elda (Comunidad Valenciana),54056,"40,69853485",22,2014
Alcázar de San Juan,Ciudad Real,Castilla La Mancha,Alcázar de San Juan (Castilla La Mancha),31973,"40,65930629",13,2014
Utiel,València/Valencia,Comunidad Valenciana,Utiel (Comunidad Valenciana),12311,"40,61408496",5,2014
Navalmoral de la Mata,Cáceres,Extremadura,Navalmoral de la Mata (Extremadura),17274,"40,52332986",7,2014
Ciutadella de Menorca,Illes Balears,Illes Balears,Ciutadella de Menorca (Illes Balears),29629,"40,50086064",12,2014
Villamartín,Cádiz,Andalucía,Villamartín (Andalucía),12366,"40,43344655",5,2014
Castellbisbal,Barcelona,Cataluña,Castellbisbal (Cataluña),12369,"40,42363974",5,2014
Arrigorriaga,Bizkaia,País Vasco,Arrigorriaga (País Vasco),12374,"40,40730564",5,2014
Miguelturra,Ciudad Real,Castilla La Mancha,Miguelturra (Castilla La Mancha),14856,"40,38772213",6,2014
Vélez-Málaga,Málaga,Andalucía,Vélez-Málaga (Andalucía),76911,"40,30632809",31,2014
Ripollet,Barcelona,Cataluña,Ripollet (Cataluña),37234,"40,28576033",15,2014
Sant Andreu de la Barca,Barcelona,Cataluña,Sant Andreu de la Barca (Cataluña),27329,"40,25028358",11,2014
Paterna,València/Valencia,Comunidad Valenciana,Paterna (Comunidad Valenciana),67159,"40,20310011",27,2014
Lepe,Huelva,Andalucía,Lepe (Andalucía),27406,"40,13719623",11,2014
"Rosario, El",Santa Cruz de Tenerife,Canarias,"Rosario, El (Canarias)",17465,"40,08016032",7,2014
Vilalba,Lugo,Galicia,Vilalba (Galicia),14980,"40,05340454",6,2014
Castellón de la Plana/Castelló de la Plana,Castelló/Castellón,Comunidad Valenciana,Castellón de la Plana/Castelló de la Plana (Comunidad Valenciana),180185,"39,9589311",72,2014
Albacete,Albacete,Castilla La Mancha,Albacete (Castilla La Mancha),172693,"39,95529639",69,2014
Barberà del Vallès,Barcelona,Cataluña,Barberà del Vallès (Cataluña),32580,"39,90178023",13,2014
"Oliva, La",Las Palmas,Canarias,"Oliva, La (Canarias)",25083,"39,86763944",10,2014
Majadahonda,Madrid,Comunidad de Madrid,Majadahonda (Comunidad de Madrid),70386,"39,7806382",28,2014
Alaquàs,València/Valencia,Comunidad Valenciana,Alaquàs (Comunidad Valenciana),30273,"39,63928253",12,2014
Castelldefels,Barcelona,Cataluña,Castelldefels (Cataluña),63077,"39,63409801",25,2014
Torrent,València/Valencia,Comunidad Valenciana,Torrent (Comunidad Valenciana),80759,"39,62406667",32,2014
Estepa,Sevilla,Andalucía,Estepa (Andalucía),12631,"39,58514765",5,2014
Sant Cugat del Vallès,Barcelona,Cataluña,Sant Cugat del Vallès (Cataluña),86108,"39,48529753",34,2014
Toledo,Toledo,Castilla La Mancha,Toledo (Castilla La Mancha),83593,"39,4769897",33,2014
Nigrán,Pontevedra,Galicia,Nigrán (Galicia),17738,"39,46329913",7,2014
Amurrio,Araba/Álava,País Vasco,Amurrio (País Vasco),10139,"39,45162245",4,2014
Santa Lucía de Tirajana,Las Palmas,Canarias,Santa Lucía de Tirajana (Canarias),68506,"39,4126062",27,2014
San Martín del Rey Aurelio,Asturias,Asturias,San Martín del Rey Aurelio (Asturias),17770,"39,3922341",7,2014
Barbate,Cádiz,Andalucía,Barbate (Andalucía),22921,"39,26530256",9,2014
Palamós,Girona,Cataluña,Palamós (Cataluña),17830,"39,25967471",7,2014
Telde,Las Palmas,Canarias,Telde (Canarias),102170,"39,15043555",40,2014
Guadalajara,Guadalajara,Castilla La Mancha,Guadalajara (Castilla La Mancha),84504,"39,05140585",33,2014
"Campello, el",Alacant/Alicante,Comunidad Valenciana,"Campello, el (Comunidad Valenciana)",28184,"39,02923645",11,2014
Valdepeñas,Ciudad Real,Castilla La Mancha,Valdepeñas (Castilla La Mancha),30869,"38,87395121",12,2014
Morón de la Frontera,Sevilla,Andalucía,Morón de la Frontera (Andalucía),28334,"38,82261594",11,2014
Xinzo de Limia,Ourense,Galicia,Xinzo de Limia (Galicia),10307,"38,8085767",4,2014
Mont-roig del Camp,Tarragona,Cataluña,Mont-roig del Camp (Cataluña),12906,"38,74167054",5,2014
Arteixo,A Coruña,Galicia,Arteixo (Galicia),31005,"38,70343493",12,2014
Murcia,Murcia,Región de Murcia,Murcia (Región de Murcia),438246,"38,56281632",169,2014
Vilafranca del Penedès,Barcelona,Cataluña,Vilafranca del Penedès (Cataluña),38929,"38,53168589",15,2014
"Garriga, La",Barcelona,Cataluña,"Garriga, La (Cataluña)",15586,"38,49608623",6,2014
Córdoba,Córdoba,Andalucía,Córdoba (Andalucía),328704,"38,33235981",126,2014
"Guarda, A",Pontevedra,Galicia,"Guarda, A (Galicia)",10438,"38,32151753",4,2014
Errenteria,Gipuzkoa,País Vasco,Errenteria (País Vasco),39178,"38,28679361",15,2014
Calvià,Illes Balears,Illes Balears,Calvià (Illes Balears),52272,"38,2614019",20,2014
Ronda,Málaga,Andalucía,Ronda (Andalucía),36665,"38,1835538",14,2014
Alfafar,València/Valencia,Comunidad Valenciana,Alfafar (Comunidad Valenciana),20973,"38,14428074",8,2014
Archena,Murcia,Región de Murcia,Archena (Región de Murcia),18369,"38,10768142",7,2014
Manresa,Barcelona,Cataluña,Manresa (Cataluña),76170,"38,07273205",29,2014
"Escala, L'",Girona,Cataluña,"Escala, L' (Cataluña)",10513,"38,04813089",4,2014
Requena,València/Valencia,Comunidad Valenciana,Requena (Comunidad Valenciana),21066,"37,97588531",8,2014
Burgos,Burgos,Castilla y León,Burgos (Castilla y León),179097,"37,96825184",68,2014
Pozuelo de Alarcón,Madrid,Comunidad de Madrid,Pozuelo de Alarcón (Comunidad de Madrid),84474,"37,88147832",32,2014
Granada,Granada,Andalucía,Granada (Andalucía),237818,"37,84406563",90,2014
Tacoronte,Santa Cruz de Tenerife,Canarias,Tacoronte (Canarias),23805,"37,80718336",9,2014
Arrecife,Las Palmas,Canarias,Arrecife (Canarias),55673,"37,72025937",21,2014
Eivissa,Illes Balears,Illes Balears,Eivissa (Illes Balears),50401,"37,69766473",19,2014
Rubí,Barcelona,Cataluña,Rubí (Cataluña),74468,"37,60004297",28,2014
Gines,Sevilla,Andalucía,Gines (Andalucía),13299,"37,59681179",5,2014
Ciempozuelos,Madrid,Comunidad de Madrid,Ciempozuelos (Comunidad de Madrid),23950,"37,5782881",9,2014
Cáceres,Cáceres,Extremadura,Cáceres (Extremadura),95925,"37,52931978",36,2014
Torrijos,Toledo,Castilla La Mancha,Torrijos (Castilla La Mancha),13359,"37,42795119",5,2014
Calp,Alacant/Alicante,Comunidad Valenciana,Calp (Comunidad Valenciana),29442,"37,36159228",11,2014
Villena,Alacant/Alicante,Comunidad Valenciana,Villena (Comunidad Valenciana),34834,"37,31985991",13,2014
Móstoles,Madrid,Comunidad de Madrid,Móstoles (Comunidad de Madrid),206451,"37,29698573",77,2014
Montcada i Reixac,Barcelona,Cataluña,Montcada i Reixac (Cataluña),34863,"37,28881622",13,2014
San Miguel de Abona,Santa Cruz de Tenerife,Canarias,San Miguel de Abona (Canarias),16099,"37,26939561",6,2014
Andratx,Illes Balears,Illes Balears,Andratx (Illes Balears),10748,"37,21622627",4,2014
"Alcora, l'",Castelló/Castellón,Comunidad Valenciana,"Alcora, l' (Comunidad Valenciana)",10797,"37,04732796",4,2014
"Porriño, O",Pontevedra,Galicia,"Porriño, O (Galicia)",18908,"37,02136662",7,2014
Altea,Alacant/Alicante,Comunidad Valenciana,Altea (Comunidad Valenciana),24333,"36,98680804",9,2014
Santa Brígida,Las Palmas,Canarias,Santa Brígida (Canarias),18971,"36,89842391",7,2014
Rojales,Alacant/Alicante,Comunidad Valenciana,Rojales (Comunidad Valenciana),21686,"36,89015955",8,2014
Sant Josep de sa Talaia,Illes Balears,Illes Balears,Sant Josep de sa Talaia (Illes Balears),24498,"36,73769287",9,2014
Mogán,Las Palmas,Canarias,Mogán (Canarias),21782,"36,72757323",8,2014
San Juan de Aznalfarache,Sevilla,Andalucía,San Juan de Aznalfarache (Andalucía),21801,"36,69556442",8,2014
Écija,Sevilla,Andalucía,Écija (Andalucía),40880,"36,6927593",15,2014
Collado Villalba,Madrid,Comunidad de Madrid,Collado Villalba (Comunidad de Madrid),62684,"36,69197881",23,2014
Marbella,Málaga,Andalucía,Marbella (Andalucía),142018,"36,61507696",52,2014
San Javier,Murcia,Región de Murcia,San Javier (Región de Murcia),32786,"36,60098823",12,2014
Esplugues de Llobregat,Barcelona,Cataluña,Esplugues de Llobregat (Cataluña),46667,"36,42831123",17,2014
Tomiño,Pontevedra,Galicia,Tomiño (Galicia),13740,"36,39010189",5,2014
"Orotava, La",Santa Cruz de Tenerife,Canarias,"Orotava, La (Canarias)",41255,"36,35922918",15,2014
Siero,Asturias,Asturias,Siero (Asturias),52301,"36,32817728",19,2014
Beasain,Gipuzkoa,País Vasco,Beasain (País Vasco),13792,"36,25290023",5,2014
Dos Hermanas,Sevilla,Andalucía,Dos Hermanas (Andalucía),129719,"36,23216337",47,2014
Berga,Barcelona,Cataluña,Berga (Cataluña),16609,"36,12499247",6,2014
Elche/Elx,Alacant/Alicante,Comunidad Valenciana,Elche/Elx (Comunidad Valenciana),230224,"36,05184516",83,2014
Ribeira,A Coruña,Galicia,Ribeira (Galicia),27811,"35,95699543",10,2014
Peligros,Granada,Andalucía,Peligros (Andalucía),11126,"35,95182456",4,2014
"Puerto de Santa María, El",Cádiz,Andalucía,"Puerto de Santa María, El (Andalucía)",89142,"35,89778107",32,2014
Poio,Pontevedra,Galicia,Poio (Galicia),16767,"35,78457685",6,2014
Picanya,València/Valencia,Comunidad Valenciana,Picanya (Comunidad Valenciana),11223,"35,64109418",4,2014
San Cristóbal de La Laguna,Santa Cruz de Tenerife,Canarias,San Cristóbal de La Laguna (Canarias),151718,"35,59234896",54,2014
Torredonjimeno,Jaén,Andalucía,Torredonjimeno (Andalucía),14116,"35,42079909",5,2014
Zizur Mayor/Zizur Nagusia,Navarra,Navarra,Zizur Mayor/Zizur Nagusia (Navarra),14120,"35,41076487",5,2014
Puerto del Rosario,Las Palmas,Canarias,Puerto del Rosario (Canarias),36774,"35,35106325",13,2014
Santa Perpètua de Mogoda,Barcelona,Cataluña,Santa Perpètua de Mogoda (Cataluña),25473,"35,3315275",9,2014
Estepona,Málaga,Andalucía,Estepona (Andalucía),67986,"35,30138558",24,2014
Crevillent,Alacant/Alicante,Comunidad Valenciana,Crevillent (Comunidad Valenciana),28382,"35,23359876",10,2014
Ontinyent,València/Valencia,Comunidad Valenciana,Ontinyent (Comunidad Valenciana),36974,"35,15984205",13,2014
Santa Pola,Alacant/Alicante,Comunidad Valenciana,Santa Pola (Comunidad Valenciana),34134,"35,15556337",12,2014
Alcalá de Henares,Madrid,Comunidad de Madrid,Alcalá de Henares (Comunidad de Madrid),204823,"35,15230223",72,2014
Torrelodones,Madrid,Comunidad de Madrid,Torrelodones (Comunidad de Madrid),22782,"35,11544202",8,2014
"Línea de la Concepción, La",Cádiz,Andalucía,"Línea de la Concepción, La (Andalucía)",62697,"35,08939822",22,2014
Orihuela,Alacant/Alicante,Comunidad Valenciana,Orihuela (Comunidad Valenciana),91260,"35,06465045",32,2014
Jumilla,Murcia,Región de Murcia,Jumilla (Región de Murcia),25710,"35,00583431",9,2014
Atarfe,Granada,Andalucía,Atarfe (Andalucía),17141,"35,00379208",6,2014
Don Benito,Badajoz,Extremadura,Don Benito (Extremadura),37149,"34,9942125",13,2014
Llucmajor,Illes Balears,Illes Balears,Llucmajor (Illes Balears),37257,"34,89277183",13,2014
Fuengirola,Málaga,Andalucía,Fuengirola (Andalucía),77397,"34,88507306",27,2014
Durango,Bizkaia,País Vasco,Durango (País Vasco),28691,"34,85413544",10,2014
Algete,Madrid,Comunidad de Madrid,Algete (Comunidad de Madrid),20136,"34,76360747",7,2014
Sant Joan d'Alacant,Alacant/Alicante,Comunidad Valenciana,Sant Joan d'Alacant (Comunidad Valenciana),23026,"34,74333362",8,2014
Vilanova i la Geltrú,Barcelona,Cataluña,Vilanova i la Geltrú (Cataluña),66275,"34,70388533",23,2014
Logroño,La Rioja,La Rioja,Logroño (La Rioja),153066,"34,62558635",53,2014
Cocentaina,Alacant/Alicante,Comunidad Valenciana,Cocentaina (Comunidad Valenciana),11558,"34,60806368",4,2014
Teulada,Alacant/Alicante,Comunidad Valenciana,Teulada (Comunidad Valenciana),14452,"34,59728757",5,2014
"Alcúdia, l'",València/Valencia,Comunidad Valenciana,"Alcúdia, l' (Comunidad Valenciana)",11563,"34,59309868",4,2014
Felanitx,Illes Balears,Illes Balears,Felanitx (Illes Balears),17359,"34,56420301",6,2014
Sueca,València/Valencia,Comunidad Valenciana,Sueca (Comunidad Valenciana),28961,"34,52919443",10,2014
Priego de Córdoba,Córdoba,Andalucía,Priego de Córdoba (Andalucía),23171,"34,52591602",8,2014
Espartinas,Sevilla,Andalucía,Espartinas (Andalucía),14485,"34,51846738",5,2014
Navalcarnero,Madrid,Comunidad de Madrid,Navalcarnero (Comunidad de Madrid),26085,"34,50258769",9,2014
Gavà,Barcelona,Cataluña,Gavà (Cataluña),46377,"34,49985984",16,2014
Peñarroya-Pueblonuevo,Córdoba,Andalucía,Peñarroya-Pueblonuevo (Andalucía),11600,"34,48275862",4,2014
"Rinconada, La",Sevilla,Andalucía,"Rinconada, La (Andalucía)",37755,"34,43252549",13,2014
Pineda de Mar,Barcelona,Cataluña,Pineda de Mar (Cataluña),26157,"34,40761555",9,2014
Baena,Córdoba,Andalucía,Baena (Andalucía),20358,"34,38451714",7,2014
Lleida,Lleida,Cataluña,Lleida (Cataluña),139809,"34,3325537",48,2014
Sant Feliu de Llobregat,Barcelona,Cataluña,Sant Feliu de Llobregat (Cataluña),43769,"34,27083095",15,2014
"Palacios y Villafranca, Los",Sevilla,Andalucía,"Palacios y Villafranca, Los (Andalucía)",37936,"34,26824125",13,2014
Pozoblanco,Córdoba,Andalucía,Pozoblanco (Andalucía),17519,"34,24853017",6,2014
"Realejos, Los",Santa Cruz de Tenerife,Canarias,"Realejos, Los (Canarias)",37970,"34,23755597",13,2014
Getafe,Madrid,Comunidad de Madrid,Getafe (Comunidad de Madrid),172526,"34,19774411",59,2014
Castro-Urdiales,Cantabria,Cantabria,Castro-Urdiales (Cantabria),32309,"34,04624099",11,2014
Medina-Sidonia,Cádiz,Andalucía,Medina-Sidonia (Andalucía),11781,"33,95297513",4,2014
Huétor Vega,Granada,Andalucía,Huétor Vega (Andalucía),11805,"33,88394748",4,2014
Pilar de la Horadada,Alacant/Alicante,Comunidad Valenciana,Pilar de la Horadada (Comunidad Valenciana),23670,"33,79805661",8,2014
Fraga,Huesca,Aragón,Fraga (Aragón),14834,"33,70635028",5,2014
Osuna,Sevilla,Andalucía,Osuna (Andalucía),17820,"33,67003367",6,2014
Salou,Tarragona,Cataluña,Salou (Cataluña),26752,"33,6423445",9,2014
Cabra,Córdoba,Andalucía,Cabra (Andalucía),20835,"33,59731222",7,2014
Argentona,Barcelona,Cataluña,Argentona (Cataluña),11920,"33,55704698",4,2014
Ingenio,Las Palmas,Canarias,Ingenio (Canarias),29978,"33,35779572",10,2014
Villaviciosa de Odón,Madrid,Comunidad de Madrid,Villaviciosa de Odón (Comunidad de Madrid),26982,"33,35557038",9,2014
Lasarte-Oria,Gipuzkoa,País Vasco,Lasarte-Oria (País Vasco),18024,"33,28894807",6,2014
Olivenza,Badajoz,Extremadura,Olivenza (Extremadura),12043,"33,21431537",4,2014
Alhama de Murcia,Murcia,Región de Murcia,Alhama de Murcia (Región de Murcia),21182,"33,04692664",7,2014
Alhaurín el Grande,Málaga,Andalucía,Alhaurín el Grande (Andalucía),24249,"32,99105118",8,2014
Alcobendas,Madrid,Comunidad de Madrid,Alcobendas (Comunidad de Madrid),112196,"32,97800278",37,2014
Linares,Jaén,Andalucía,Linares (Andalucía),60740,"32,92723082",20,2014
Alovera,Guadalajara,Castilla La Mancha,Alovera (Castilla La Mancha),12196,"32,79763857",4,2014
Torre-Pacheco,Murcia,Región de Murcia,Torre-Pacheco (Región de Murcia),33575,"32,76247208",11,2014
Mollet del Vallès,Barcelona,Cataluña,Mollet del Vallès (Cataluña),51954,"32,72125342",17,2014
Villaquilambre,León,Castilla y León,Villaquilambre (Castilla y León),18343,"32,71002562",6,2014
Utrera,Sevilla,Andalucía,Utrera (Andalucía),52013,"32,68413666",17,2014
Carlet,València/Valencia,Comunidad Valenciana,Carlet (Comunidad Valenciana),15335,"32,60515161",5,2014
Arucas,Las Palmas,Canarias,Arucas (Canarias),36852,"32,56268317",12,2014
Martos,Jaén,Andalucía,Martos (Andalucía),24585,"32,54016677",8,2014
"Torres de Cotillas, Las",Murcia,Región de Murcia,"Torres de Cotillas, Las (Región de Murcia)",21565,"32,46000464",7,2014
San Bartolomé,Las Palmas,Canarias,San Bartolomé (Canarias),18541,"32,36071409",6,2014
Torrejón de Ardoz,Madrid,Comunidad de Madrid,Torrejón de Ardoz (Comunidad de Madrid),123761,"32,3203594",40,2014
Aldaia,València/Valencia,Comunidad Valenciana,Aldaia (Comunidad Valenciana),31028,"32,22895449",10,2014
Berja,Almería,Andalucía,Berja (Andalucía),15521,"32,21441917",5,2014
