pais,fecha,pais_esp,lat,long,var_casos
Cruise Ship,2020-02-19,Crucero de Japón,35.4437,139.6380,79
Japan,2020-02-19,Japón,36.4910,139.0680,10
Singapore,2020-02-19,Singapur,1.3510,103.8080,3
Taiwan*,2020-02-19,Taiwán,23.7540,120.9460,1
China,2020-02-20,China,33.4200,106.5140,458
"Korea, South",2020-02-20,Corea del Sur,36.5040,128.1030,73
Cruise Ship,2020-02-20,Crucero de Japón,35.4437,139.6380,13
Iran,2020-02-20,Irán,32.5650,54.3010,3
Japan,2020-02-20,Japón,36.4910,139.0680,10
Taiwan*,2020-02-20,Taiwán,23.7540,120.9460,1
Australia,2020-02-21,Australia,-24.9730,136.1890,4
Canada,2020-02-21,Canadá,59.0810,-109.4330,1
China,2020-02-21,China,33.4200,106.5140,473
"Korea, South",2020-02-21,Corea del Sur,36.5040,128.1030,100
US,2020-02-21,Estados Unidos,39.6220,-98.6060,2
Iran,2020-02-21,Irán,32.5650,54.3010,13
Italy,2020-02-21,Italia,42.7000,12.8000,17
Japan,2020-02-21,Japón,36.4910,139.0680,11
Singapore,2020-02-21,Singapur,1.3510,103.8080,1
Taiwan*,2020-02-21,Taiwán,23.7540,120.9460,2
Australia,2020-02-22,Australia,-24.9730,136.1890,3
China,2020-02-22,China,33.4200,106.5140,1451
"Korea, South",2020-02-22,Corea del Sur,36.5040,128.1030,229
United Arab Emirates,2020-02-22,Emiratos Árabes Unidos,23.5490,54.1630,4
Iran,2020-02-22,Irán,32.5650,54.3010,10
Italy,2020-02-22,Italia,42.7000,12.8000,42
Japan,2020-02-22,Japón,36.4910,139.0680,17
China,2020-02-23,China,33.4200,106.5140,21
"Korea, South",2020-02-23,Corea del Sur,36.5040,128.1030,169
Cruise Ship,2020-02-23,Crucero de Japón,35.4437,139.6380,57
Iran,2020-02-23,Irán,32.5650,54.3010,15
Italy,2020-02-23,Italia,42.7000,12.8000,93
Japan,2020-02-23,Japón,36.4910,139.0680,25
Singapore,2020-02-23,Singapur,1.3510,103.8080,4
Taiwan*,2020-02-23,Taiwán,23.7540,120.9460,2
Canada,2020-02-24,Canadá,59.0810,-109.4330,1
China,2020-02-24,China,33.4200,106.5140,219
"Korea, South",2020-02-24,Corea del Sur,36.5040,128.1030,231
US,2020-02-24,Estados Unidos,39.6220,-98.6060,36
Iran,2020-02-24,Irán,32.5650,54.3010,18
Italy,2020-02-24,Italia,42.7000,12.8000,74
Japan,2020-02-24,Japón,36.4910,139.0680,12
United Kingdom,2020-02-24,Reino Unido,53.0000,-1.6000,4
Taiwan*,2020-02-24,Taiwán,23.7540,120.9460,2
Germany,2020-02-25,Alemania,51.1100,9.8510,1
Bahrain,2020-02-25,Bahrein,26.0190,50.5620,22
Canada,2020-02-25,Canadá,59.0810,-109.4330,1
China,2020-02-25,China,33.4200,106.5140,513
"Korea, South",2020-02-25,Corea del Sur,36.5040,128.1030,144
Spain,2020-02-25,España,40.2270,-3.6490,4
France,2020-02-25,Francia,46.5650,2.5500,2
Iran,2020-02-25,Irán,32.5650,54.3010,34
Italy,2020-02-25,Italia,42.7000,12.8000,93
Japan,2020-02-25,Japón,36.4910,139.0680,11
Kuwait,2020-02-25,Kuwait,29.4760,47.3760,10
Singapore,2020-02-25,Singapur,1.3510,103.8080,2
Thailand,2020-02-25,Tailandia,15.7000,100.8440,2
Taiwan*,2020-02-25,Taiwán,23.7540,120.9460,1
Germany,2020-02-26,Alemania,51.1100,9.8510,10
Bahrain,2020-02-26,Bahrein,26.0190,50.5620,10
China,2020-02-26,China,33.4200,106.5140,412
"Korea, South",2020-02-26,Corea del Sur,36.5040,128.1030,284
Croatia,2020-02-26,Croacia,45.7230,16.6930,2
Cruise Ship,2020-02-26,Crucero de Japón,35.4437,139.6380,14
Spain,2020-02-26,España,40.2270,-3.6490,7
US,2020-02-26,Estados Unidos,39.6220,-98.6060,6
Finland,2020-02-26,Finlandia,64.5040,26.2720,1
France,2020-02-26,Francia,46.5650,2.5500,4
Iraq,2020-02-26,Irak,33.0480,43.7720,4
Iran,2020-02-26,Irán,32.5650,54.3010,44
Israel,2020-02-26,Israel,31.0260,34.8510,1
Italy,2020-02-26,Italia,42.7000,12.8000,131
Japan,2020-02-26,Japón,36.4910,139.0680,19
Kuwait,2020-02-26,Kuwait,29.4760,47.3760,15
Lebanon,2020-02-26,Líbano,33.9200,35.8880,1
Oman,2020-02-26,Omán,21.6560,57.4070,2
Singapore,2020-02-26,Singapur,1.3510,103.8080,2
Sweden,2020-02-26,Suecia,62.0110,15.2700,1
Thailand,2020-02-26,Tailandia,15.7000,100.8440,3
Taiwan*,2020-02-26,Taiwán,23.7540,120.9460,1
Germany,2020-02-27,Alemania,51.1100,9.8510,19
Australia,2020-02-27,Australia,-24.9730,136.1890,1
Austria,2020-02-27,Austria,47.6830,14.9120,1
Canada,2020-02-27,Canadá,59.0810,-109.4330,2
China,2020-02-27,China,33.4200,106.5140,434
"Korea, South",2020-02-27,Corea del Sur,36.5040,128.1030,505
Spain,2020-02-27,España,40.2270,-3.6490,2
US,2020-02-27,Estados Unidos,39.6220,-98.6060,1
France,2020-02-27,Francia,46.5650,2.5500,20
Greece,2020-02-27,Grecia,39.6660,21.7660,2
Iraq,2020-02-27,Irak,33.0480,43.7720,2
Iran,2020-02-27,Irán,32.5650,54.3010,106
Israel,2020-02-27,Israel,31.0260,34.8510,1
Italy,2020-02-27,Italia,42.7000,12.8000,202
Japan,2020-02-27,Japón,36.4910,139.0680,25
Kuwait,2020-02-27,Kuwait,29.4760,47.3760,17
Malaysia,2020-02-27,Malasia,4.2010,102.1950,1
United Kingdom,2020-02-27,Reino Unido,53.0000,-1.6000,2
Sweden,2020-02-27,Suecia,62.0110,15.2700,5
Switzerland,2020-02-27,Suiza,46.8610,7.9080,7
Germany,2020-02-28,Alemania,51.1100,9.8510,2
Bahrain,2020-02-28,Bahrein,26.0190,50.5620,3
Canada,2020-02-28,Canadá,59.0810,-109.4330,1
China,2020-02-28,China,33.4200,106.5140,328
"Korea, South",2020-02-28,Corea del Sur,36.5040,128.1030,571
Croatia,2020-02-28,Croacia,45.7230,16.6930,2
United Arab Emirates,2020-02-28,Emiratos Árabes Unidos,23.5490,54.1630,6
Spain,2020-02-28,España,40.2270,-3.6490,17
US,2020-02-28,Estados Unidos,39.6220,-98.6060,2
