Institución;Tipo institución;Coste €;Empresa adjudicataria;Fuente
Universidade da Coruña;Universidades;517218,64;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-32761
Universidad de Murcia;Universidades;2510082,43;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-31960
Universidad de Murcia;Universidades;689968,62;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-31959
Universidad de Oviedo;Universidades;907307,61;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-29496
Universidad de Valladolid;Universidades;434917,18;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-27146
Universidad de Oviedo;Universidades;326978,66;Greendata, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-25308
Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria (INIA);Ministerios;337419,98;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-25255
Osakidetza-Servicio Vasco de Salud;CCAA;180292,00;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-23837
Bibliotecas Universitarias de Galicia;Universidades;244012,71;American Chemical Society (ACS);http://www.boe.es/buscar/doc.php?id=BOE-B-2017-23125
Osakidetza-Servicio Vasco de Salud;CCAA;2022469,22;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-22366
Osakidetza-Servicio Vasco de Salud;CCAA;416976,00;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-21821
Osakidetza-Servicio Vasco de Salud;CCAA;1540600,00;Ovid Technologies, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-21820
CSIC;Ministerios;883984,96;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-1956
CSIC;Ministerios;4338031,50;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-1955
Bibliotecas Universitarias de Madrid y UNED;Universidades;2459617,82;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-18187
Bibliotecas Universitarias de Galicia;Universidades;10451582,06;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-14657
Universidad de Oviedo;Universidades;266059,37;LM Tietopalvelut Oy;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-13210
CSIC;Ministerios;3153665,99;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-11220
Bibliotecas Universitarias de Galicia;Universidades;394316,05;American Chemical Society (ACS);http://www.boe.es/buscar/doc.php?id=BOE-B-2017-1119
Bibliotecas Universitarias de Cataluña;Universidades;19368433,03;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-10377
Bibliotecas Universitarias de Cataluña;Universidades;389897,08;American Chemical Society (ACS);http://www.boe.es/buscar/doc.php?id=BOE-B-2017-10374
Bibliotecas Universitarias de Cataluña;Universidades;125305,66;Springer Customer Service Center Gmbh;http://www.boe.es/buscar/doc.php?id=BOE-B-2017-10373
Consejería de Sanidad de la Comunidad de Madrid;CCAA;2192019,96;Ovid Technologies, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-7899
Universidad de Alicante;Universidades;3097635,00;Librería Pons, S.L., Ebsco Subscription Services España, S.L.U., LM Tietopalvelut Oy., Proquest Information and Learning España, S.L., Editorial Aranzadi, S.A;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-7413
Bibliotecas Universitarias de Galicia;Universidades;306586,17;Springer Customer Service Center Gmbh;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-6234
Bibliotecas Universitarias de Cataluña;Universidades;160723,00;ProQuest Information & Learning España, S.L.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-61695
Universidad de Oviedo;Universidades;913886,94;Elsevier, B.V.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-53352
Universidad Miguel Hernández de Elche;Universidades;316654,93;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-50894
Universidad Miguel Hernández de Elche;Universidades;309770,80;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-4748
Universitat de València;Universidades;800635,24;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-46792
Universidad de Murcia;Universidades;600880,35;EBSCO Subscription Services España, S.L.U.;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-45173
Universidad del País Vasco/Euskal Herriko Unibertsitatea;Universidades;286201,50;Springer Customer Service Center Gmbh;http://www.boe.es/buscar/doc.php?id=BOE-B-2016-43999
