ID_ACCIDENTE,ANIO,MES,HORA,DIASEMANA,PROVINCIA,COMUNIDAD_AUTONOMA,ISLA,MUNICIPIO,TOT_VICTIMAS,TOT_MUERTOS,TOT_HERIDOS_GRAVES,TOT_HERIDOS_LEVES,TOT_VEHICULOS_IMPLICADOS,ZONA,ZONA_AGRUPADA,CARRETERA,RED_CARRETERA,TIPO_VIA,TRAZADO_NO_INTERSEC,TIPO_INTERSEC,ACOND_CALZADA,PRIORIDAD,SUPERFICIE_CALZADA,LUMINOSIDAD,FACTORES_ATMOSFERICOS,VISIBILIDAD_RESTRINGIDA,OTRA_CIRCUNSTANCIA,ACERAS,TIPO_ACCIDENTE,DENSIDAD_CIRCULACION,MEDIDAS_ESPECIALES,COD_ANIMAL
2011330002281,2011,6,08:00,MIÉRCOLES,Asturias,"Asturias, Principado de",,,3,0,0,3,2,CARRETERA,VÍAS INTERURBANAS,A-66,TITULARIDAD ESTATAL,AUTOVÍA,GIRATORIA,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,PLENO DÍA,BUEN TIEMPO,CONFIGURACIÓN DEL TERRENO,CAMBIO DE RASANTE,N,Colisión de vehículos en marcha (Alcance),DENSA,NINGUNA MEDIDA,Canino
2008330001417,2008,4,08:00,VIERNES,Asturias,"Asturias, Principado de",,Salas,3,0,0,3,1,CARRETERA,VÍAS INTERURBANAS,AS-15,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,PLENO DÍA,BUEN TIEMPO,CONFIGURACIÓN DEL TERRENO,NINGUNA,N,Salida de la vía por la derecha con colisión (Otro tipo de choque),FLUIDA,NINGUNA MEDIDA,Animal no identificado
2013330004763,2013,11,21:45,DOMINGO,Asturias,"Asturias, Principado de",,San Martín del Rey Aurelio,1,0,0,1,3,CARRETERA,VÍAS INTERURBANAS,AS-117,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: SIN ILUMINACIÓN,LLOVIZNANDO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2008330003148,2008,8,21:00,JUEVES,Asturias,"Asturias, Principado de",,,2,0,0,2,1,CARRETERA,VÍAS INTERURBANAS,C. VECINAL,TITULARIDAD MUNICIPAL,CAMINO VECINAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,CREPÚSCULO,BUEN TIEMPO,CONFIGURACIÓN DEL TERRENO,NINGUNA,N,Otro tipo de accidente,FLUIDA,NINGUNA MEDIDA,Corzo
2008330003825,2008,10,01:00,DOMINGO,Asturias,"Asturias, Principado de",,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-228,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: ILUMINACIÓN INSUFICIENTE,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Equino
2010330002690,2010,8,12:00,DOMINGO,Asturias,"Asturias, Principado de",,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,S/N,TITULARIDAD MUNICIPAL,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,PLENO DÍA,OTRO,VEGETACIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Corzo
2011330004003,2011,10,23:00,MARTES,Asturias,"Asturias, Principado de",,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-228,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),SECA Y LIMPIA,NOCHE: SIN ILUMINACIÓN,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Vacuno
2013330000556,2013,2,17:15,DOMINGO,Asturias,"Asturias, Principado de",,,1,0,0,1,1,CARRETERA,VÍAS INTERURBANAS,AS-331,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),UMBRÍA,PLENO DÍA,BUEN TIEMPO,SIN RESTRICCIÓN,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Vacuno
2008330004169,2008,11,19:00,SÁBADO,Asturias,"Asturias, Principado de",,Siero,6,0,0,6,4,CARRETERA,VÍAS INTERURBANAS,A-64,TITULARIDAD ESTATAL,AUTOVÍA,EN X Ó +,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: SIN ILUMINACIÓN,LLUVIA FUERTE,FACTORES ATMOSFÉRICOS,OTRA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Jabalí
2008330003030,2008,8,04:00,LUNES,Asturias,"Asturias, Principado de",,Siero,2,0,0,2,1,CARRETERA,VÍAS INTERURBANAS,AS-246,TITULARIDAD AUTONÓMICA,VÍA CONVENCIONAL,EN T Ó Y,,SIN DATO,NINGUNA (SOLO NORMA),MOJADA,NOCHE: ILUMINACIÓN INSUFICIENTE,NIEBLA LIGERA,FACTORES ATMOSFÉRICOS,NINGUNA,N,Atropello a animales sueltos,FLUIDA,NINGUNA MEDIDA,Equino
