iso3;pais;pais_esp;lat_pais;long_pais;poblacion
SYC;Seychelles;Seychelles;-4.647;55.474;96762
SLE;Sierra Leone;Sierra Leona;8.56;-11.792;7650154
SGP;Singapore;Singapur;1.351;103.808;5638676
SVK;Slovakia;Eslovaquia;48.707;19.491;5447011
SVN;Slovenia;Eslovenia;46.124;14.827;2067372
SLB;Solomon Islands;Islas Salomón;-9.611;160.109;652858
SOM;Somalia;Somalia;9.774;48.316;15008154
ZAF;South Africa;Sudáfrica;-30.558;23.121;57779622
SGS;South Georgia South Sandwich Islands;Islas Georgias del Sur y Sandwich del Sur;-54.209;-36.891;#N/A
SSD;South Sudan;Sudán del Sur;;;
ESP;Spain;España;40.227;-3.649;46723749
LKA;Sri Lanka;Sri Lanka;7.612;80.704;21670000
SDN;Sudan;Sudán;13.832;30.05;41801533
SUR;Suriname;Surinam;4.127;-55.912;575991
SJM;Svalbard;Svalbard;78.83;18.374;#N/A
SWZ;Swaziland;Suazilandia;-26.562;31.497;1136191
SWE;Sweden;Suecia;62.011;15.27;10183175
CHE;Switzerland;Suiza;46.861;7.908;8516543
SYR;Syrian Arab Republic;Siria;35.013;38.506;16906283
TWN;Taiwan*;Taiwán;23.754;120.946;#N/A
TJK;Tajikistan;Tayikistán;38.665;69.42;9100837
TZA;Tanzania;Tanzania;-6.27;34.823;56318348
THA;Thailand;Tailandia;15.7;100.844;69428524
TLS;Timor-Leste;Timor Oriental;-8.822;125.878;1267972
TGO;Togo;Togo;8.799;1.081;7889094
TKL;Tokelau;Tokelau;-9.193;-171.853;#N/A
TON;Tonga;Tonga;-21.202;-175.185;103197
TTO;Trinidad and Tobago;Trinidad y Tobago;10.468;-61.253;1389858
TUN;Tunisia;Túnez;35.383;9.596;11565204
TUR;Turkey;Turquía;39.061;35.179;82319724
TKM;Turkmenistan;Turkmenistán;39.122;59.384;5850908
TCA;Turks and Caicos Islands;Islas Turcas y Caicos;21.902;-71.95;37665
TUV;Tuvalu;Tuvalu;-8.514;179.219;11508
UGA;Uganda;Uganda;1.28;32.386;42723139
UKR;Ukraine;Ucrania;49.016;31.388;44622516
ARE;United Arab Emirates;Emiratos Árabes Unidos;23.549;54.163;9630959
GBR;United Kingdom;Reino Unido;53;-1.6;66488991
USA;US;Estados Unidos;39.622;-98.606;327167434
UMI;United States Minor Outlying Islands;Islas Ultramarinas Menores de Estados Unidos;-0.385;-160.027;#N/A
VIR;United States Virgin Islands;Islas Vírgenes de los Estados Unidos;17.741;-64.785;106977
URY;Uruguay;Uruguay;-32.8;-56.012;3449299
UZB;Uzbekistan;Uzbekistán;41.75;63.17;32955400
VUT;Vanuatu;Vanuatu;-15.376;166.899;292680
VEN;Venezuela;Venezuela;7.125;-66.166;28870195
VNM;Vietnam;Vietnam;21.491;105.314;95540395
WLF;Wallis and Futuna Islands;Wallis y Futuna;-14.289;-178.131;#N/A
ESH;Western Sahara;Sahara Occidental;24.554;-13.706;#N/A
YEM;Yemen;Yemen;15.807;48.355;28498687
ZMB;Zambia;Zambia;-14.614;26.32;17351822
ZWE;Zimbabwe;Zimbabue;-19;29.872;14439018
;Curacao;Curaçao;12.166546;-68.963259;
;Eswatini;Esuatini;-26.632018;31.5038;
